MDDv1.9_Name,MDDv1.10_Name,Comment,Category,Reference
NA,Chilomys_carapazi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_georgeledecii,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_neisi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_percequilloi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_weksleri,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Typhlomys_fengjiensis,recently described,de novo,"Pu, Y. T., Wan, T., Fan, R. H., Fu, C. K., Tang, K. Y., Jiang, X. L., ... & Liu, S. Y. (2022). A new species of the genus Typhlomys Milne-Edwards, 1877 (Rodentia: Platacanthomyidae) from Chongqing, China. Zoological Research, 43(3), 413."
NA,Cacajao_amuna,recently described,de novo,"Silva, F. E., do Amaral, J. V., Roos, C., Bowler, M., Röhe, F., Sampaio, R., ... & Boubli, J. P. (2022). Molecular phylogeny and systematics of bald uakaris, genus Cacajao Lesson, 1840 (Primates: Pitheciidae), with the description of a new species. Molecular Phylogenetics and Evolution, 107509."
NA,Macaca_selai,recently described,de novo,"Ghosh, A., Thakur, M., Singh, S. K., Dutta, R., Sharma, L. K., Chandra, K., & Banerjee, D. (2022). The Sela macaque (Macaca selai) is a distinct phylogenetic species that evolved from the Arunachal macaque following allopatric speciation. Molecular Phylogenetics and Evolution, 107513."
NA,Thomasomys_burneoi,recently described,de novo,"Lee Jr, T. E., Tinoco, N., & Brito, J. (2022). A new species of Andean mouse of the genus Thomasomys (Cricetidae, Sigmodontinae) from the eastern Andes of Ecuador. Vertebrate Zoology, 72, 219-233."
NA,Rhipidomys_bezerrensis,recently described,de novo,"Campos, B. A. P., Percequillo, A. R., Miranda, G. B., & Langguth, A. (2022). Two new species of Rhipidomys (Rodentia: Sigmodontinae) from Eastern Brazil, with comments on the taxonomy of the genus. Hystrix, the Italian Journal of Mammalogy."
NA,Rhipidomys_caracolensis,recently described,de novo,"Campos, B. A. P., Percequillo, A. R., Miranda, G. B., & Langguth, A. (2022). Two new species of Rhipidomys (Rodentia: Sigmodontinae) from Eastern Brazil, with comments on the taxonomy of the genus. Hystrix, the Italian Journal of Mammalogy."
NA,Chionomys_stekolnikovi,recently described,de novo,"Golenishchev, F. N., Malikov, V. G., Bannikova, A. A., Zykov, A. E., Yiğit, N., & Çolak, E. (2022). Diversity of snow voles of the “nivalis” group (Chionomys, Arvicolinae, Rodentia) in the eastern part of the range with a description of a new species. Russian Journal of Theriology, 21(1), 1-12."
NA,Glischropus_meghalayanus,recently described,de novo,"Saikia, U., Ruedi, M., & Csorba, G. (2022). Out of Southeast Asia: A new species of thick-thumbed bat (Chiroptera: Vespertilionidae: Glischropus) from Meghalaya, north-eastern India. Zootaxa, 5154(3), 355-364."
NA,Alticola_kohistanicus,recently described,de novo,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
NA,Miniopterus_phillipsi,recently described,de novo,"Kusuminda, T., Mannakkara, A., Ukuwela, K. D., Kruskop, S. V., Amarasinghe, C. J., Saikia, U., ... & Patterson, B. D. (2022). DNA barcoding and morphological analyses reveal a cryptic species of Miniopterus from India and Sri Lanka. Acta Chiropterologica, 24(1), 1-17."
